	GFP-1	GFP-2	GFP-3	GFP-4	GFP-5	GFP-7	GFP-8	GFP-10
MRPL37	6.49897889723458	6.66587428131557	6.78945775390183	6.48649966156448	6.9908855260927	6.57206595704211	6.56317391442796	7.0665477499046
SSBP3	3.88529247744004	4.13372380316052	4.14436714003952	4.02960199233344	4.45471180296336	4.51433077861607	4.07326080997599	4.47699242645698
SSBP3-AS1	0.34555510578796	0.436511486299791	0.604759262155627	0.0986352368205773	0.894893502964168	0.21017343337531	0.246859391245675	0.838544777774795
ACOT11	0.461039508767341	1.00097806350442	0.533267734953177	0.906951640062894	0.689934179481719	0.489598494218635	0.310814674836841	0.936504808673846
FAM151A	0	0	0	0	0	0	0	0
MROH7-TTC4	0	0	0	0	0.037687988182441	0	0	0
TTC4	1.24096063238105	1.38541329974646	1.29721011782326	0.763426364995246	0.785863639452184	1.13906727197762	0.68993070388169	0.766781806206807
PARS2	2.84473612933263	2.56469117659803	2.42905988144996	2.75530822486319	2.8130860485718	2.4986032906538	2.67770613396874	2.72862247706488
TTC22	3.05211898578577	2.76043913572655	2.20238971409198	2.55790590253343	2.56213958344342	2.31272635239347	2.65666032425345	2.86846029430005
C1orf177	0	0	0	0	0	0	0	0
DHCR24	7.63235741678454	7.55105248881535	7.25939296271541	7.71811783311222	7.83706795126239	7.48585684181823	7.69131694878467	7.89011868067087
TMEM61	1.19739280401854	0.882984534182134	0.500509304709891	1.1266036161994	1.75249628915461	1.45869318366549	1.02884806806629	0.957286974371138
BSND	0	0	0	0	0	0	0	0.129944269435836
PCSK9	1.76799430881007	1.97622623542503	1.77220188900759	1.73766722508837	1.99386650384824	1.85004351305793	1.72424609356706	1.76074730806789
USP24	4.15257027045889	4.10939595444592	4.05285599178731	4.0477269953632	4.43601005631613	3.8588437320368	3.8900617074714	4.36067252493462
LOC100507634	0.272401255303304	0.202546803984738	0.289408022039009	0.346727784472904	0.420555882253836	0.0934272934376644	0.213158511216487	0.648411573230752
PPAP2B	5.13671401523155	5.14515226995341	4.76669358630059	5.08125149531166	4.71704465130614	5.32402971295234	4.8577610010313	4.69073116544819
PRKAA2	1.37453586843265	1.351275626207	1.46857376025374	1.25591736264306	2.52190896867065	1.20409407541558	1.24932522841027	2.26626877909667
C1orf168	0.763025741657768	0.814217817739397	0.973962012874723	1.08789537336849	0.486100727184835	0.599122799512704	0.602504491476313	0.675461265287196
DAB1	0.220285861607802	0.0838244421796534	0	0	0.264826738547357	0	0	0.322206450479267
OMA1	4.0210172203257	3.59414831162798	3.95025118482829	3.96992127609041	3.83315800886401	4.04465437733628	3.82302542486012	3.91352012667292
TACSTD2	10.4724769158243	10.0724341694115	10.0481067140668	10.4723844625129	10.2023520377571	10.4599530596758	10.288210982158	10.5014385948129
MYSM1	3.73240016728095	3.76523700976712	3.6814847374312	3.81104239511201	4.29964729175314	3.63775998343146	3.55157979421817	4.14207506001043
